Model,p,N_train,N_test,rf_win_prop,n_pairs,Method,mean_mse,sd_mse,skew_mse,kurt_mse,n_reps
B,12,50,50,0.495,1000,rf,1.36876886398547,0.280505075073471,0.450164454007438,0.234334101859846,1000
B,12,100,100,0.147,1000,reg,1.16572260995,0.175409009254945,0.34378174302212,0.28547685412904,1000
B,12,100,100,0.147,1000,rf,1.29611621644459,0.187710410245944,0.264936275259731,0.0716603477345719,1000
B,12,500,500,0,1000,reg,1.04203986851108,0.067904815382828,0.17688418242799,0.0822281922175354,1000
B,12,500,500,0,1000,rf,1.17527259673115,0.0783180638574753,0.199295751924105,0.0484643981733126,1000
B,12,1000,1000,0,1000,reg,1.02542207524809,0.0462743896137658,0.0418719423637263,0.0332056515491006,1000
B,12,1000,1000,0,1000,rf,1.13786428152781,0.0532120524094409,0.0792713432820007,0.159371880040553,1000
B,12,10000,10000,0,1000,reg,1.01359455335449,0.014097516791556,-0.0337741526214514,-0.0635251890700705,1000
B,12,10000,10000,0,1000,rf,1.0753203820167,0.0152325322530108,-0.0493721256183227,-0.0973247803133863,1000
B,24,30,30,0.98,1000,reg,7.41898944057932,6.92107630892953,4.06691990455195,23.3576790994436,1000
B,24,30,30,0.98,1000,rf,1.88093474006247,0.502322079095164,0.600594572773537,0.734707996850426,1000
B,24,50,50,0.662,1000,reg,2.09980933958212,0.645107197157507,1.05948690088102,2.0379093267736,1000
B,24,50,50,0.662,1000,rf,1.77905918564062,0.363928584794067,0.345875428333804,-0.102811871754008,1000
B,24,100,100,0.103,1000,reg,1.37891567994267,0.234476531444965,0.556073511592113,0.600983130004566,1000
B,24,100,100,0.103,1000,rf,1.67841813728098,0.236207065605137,0.286239869946369,0.247933085273524,1000
B,24,500,500,0,1000,reg,1.07843990940125,0.0660006083899125,0.204354143521515,0.233924402874059,1000
B,24,500,500,0,1000,rf,1.483403921763,0.0975910522232741,0.212664914133935,-0.129861891275834,1000
B,24,1000,1000,0,1000,reg,1.05001928085158,0.0472621424980061,0.0473211334704756,-0.00338305698025732,1000
B,24,1000,1000,0,1000,rf,1.42835166673449,0.0671716199984037,0.115912408407633,-0.0200215555505561,1000
B,24,10000,10000,0,920,reg,1.02758638879072,0.0143490958497888,-0.119380850881809,0.0805746571480106,1000
B,24,10000,10000,0,920,rf,1.3167364493059,0.0191773355571943,-0.110517497324627,0.30486450394076,920
B,32,50,50,0.846,1000,reg,3.13098294724728,1.11277297037769,1.33186602113145,2.83237390244258,1000
B,32,50,50,0.846,1000,rf,2.09849173728474,0.422621258201333,0.364016106941364,0.294511917701299,1000
B,32,100,100,0.11,1000,reg,1.5573360210684,0.275689957970937,0.41758695511927,0.0990676711107059,1000
B,32,100,100,0.11,1000,rf,1.95876536955911,0.28126007561347,0.320482371542859,0.0876931176619111,1000
B,32,500,500,0,1000,reg,1.11073817437046,0.0721205128126672,0.144777971760903,0.0285548550910755,1000
B,32,500,500,0,1000,rf,1.74232136969767,0.116782761809246,0.160180079752019,-0.19801924272003,1000
B,32,1000,1000,0,1000,reg,1.07018243184073,0.0503394506636602,0.216874360866215,0.32751164057226,1000
B,32,1000,1000,0,1000,rf,1.67890933335008,0.0804726714659119,0.197464616648881,0.12582922947901,1000
B,32,10000,10000,0,1000,reg,1.03769071694088,0.0146204099207209,0.0345189000699777,0.377502560892625,1000
B,32,10000,10000,0,1000,rf,1.53774094697355,0.0226614418242873,0.066892194288507,-0.0619133953535993,1000
C,6,15,15,0.746,1000,reg,1.96641744026474,1.1171117994308,2.52579418259592,11.6758649647187,1000
C,6,15,15,0.746,1000,rf,1.39982606764447,0.517948619109701,0.788234007252201,1.12637477611741,1000
C,6,30,30,0.481,1000,reg,1.3371111374915,0.417614952910658,0.960480572198471,1.824159136868,1000
C,6,30,30,0.481,1000,rf,1.31780351911608,0.36401651488065,0.527747412597158,0.337117201999306,1000
C,6,50,50,0.342,1000,reg,1.19039688532973,0.254028697525693,0.68029332523514,1.56678097762978,1000
C,6,50,50,0.342,1000,rf,1.25421471550427,0.26951599879875,0.532988547830531,0.382835677090567,1000
C,6,100,100,0.121,1000,reg,1.10612073398743,0.162907631685132,0.538556181306029,0.739300672677819,1000
C,6,100,100,0.121,1000,rf,1.21417062515071,0.176225701220818,0.421954588156487,0.195175695436601,1000
C,6,500,500,0.009,1000,reg,1.04159668016577,0.0656611946632101,0.275006191321675,0.422974557503708,1000
C,6,500,500,0.009,1000,rf,1.1148176970061,0.0719874577293253,0.284982734945642,0.465866886115208,1000
C,6,1000,1000,0.004,1000,reg,1.03181574866581,0.0460029819555398,-0.00561931155591748,0.0513381115221669,1000
C,6,1000,1000,0.004,1000,rf,1.09020832134323,0.0506461758729566,0.0531021764032584,0.0254465258175478,1000
C,6,10000,10000,0,1000,reg,1.02592575334156,0.0149935148562538,0.0390653568603715,0.290428512747446,1000
C,6,10000,10000,0,1000,rf,1.04891845404284,0.0152614478939489,0.083225564665344,0.0677536183306655,1000
C,12,15,15,0.937,1000,reg,28.9328793451058,85.9971659288627,12.2653553841831,206.564497115209,1000
C,12,15,15,0.937,1000,rf,4.51227986431135,14.5419267354626,21.8161064090659,572.949756036276,1000
C,12,30,30,0.664,1000,reg,5.27782264139438,8.31022564181354,8.02086125002788,87.7360696551787,1000
C,12,30,30,0.664,1000,rf,4.27599032104486,8.49984935033003,11.0009561762215,163.151001459559,1000
C,12,50,50,0.516,1000,reg,4.08477941586133,6.60064516247632,10.5979133058799,161.766221116928,1000
